City,Country,Temperature,Humidity,Cloudiness,Wind speed,Latitude,Longitude,Max Temperature,Date
mindelo,CV,68.0,77,75,21.85,16.8901,-24.9804,68.0,1613185585
cidreira,BR,74.75,81,100,15.39,-30.1811,-50.2056,74.75,1613185585
east london,ZA,75.06,80,27,9.44,-33.0153,27.9116,75.06,1613185586
jamestown,US,13.1,73,1,4.61,42.097,-79.2353,14.0,1613185586
axim,GH,80.42,85,3,7.87,4.8699,-2.2405,80.42,1613185586
olga,RU,40.95,68,57,2.33,43.7444,135.2892,40.95,1613185586
cape town,ZA,65.1,88,0,1.14,-33.9258,18.4232,66.2,1613185289
avarua,CK,84.2,65,20,4.61,-21.2078,-159.775,84.2,1613185587
margate,GB,27.72,53,7,7.0,51.3813,1.3862,30.0,1613185587
iguape,BR,74.7,86,100,2.57,-24.7081,-47.5553,74.7,1613185587
upernavik,GL,-2.79,81,0,8.32,72.7868,-56.1549,-2.79,1613185316
santa cruz de la palma,ES,59.0,67,0,10.36,28.6835,-17.7642,62.6,1613185588
tricase,IT,46.18,81,90,2.3,39.9304,18.3553,46.4,1613185588
victoria,HK,66.45,76,41,1.99,22.2855,114.1577,69.01,1613185473
roald,NO,21.78,59,0,14.97,62.5833,6.1333,28.4,1613185589
high level,CA,-7.6,77,90,3.44,58.5169,-117.136,-7.6,1613185589
hermanus,ZA,72.0,81,1,8.01,-34.4187,19.2345,72.0,1613185589
capiibary,PY,66.61,91,44,2.35,-24.8,-56.0333,66.61,1613185590
nanortalik,GL,37.27,74,100,8.03,60.1432,-45.2371,37.27,1613185590
champerico,GT,65.77,92,22,6.62,14.3,-91.9167,66.99,1613185590
vao,NC,79.27,74,9,6.93,-22.6667,167.4833,79.27,1613185590
port alfred,ZA,75.0,94,78,3.0,-33.5906,26.891,75.0,1613185591
beringovskiy,RU,-9.83,89,100,29.3,63.05,179.3167,-9.83,1613185591
khatanga,RU,-26.54,86,100,8.28,71.9667,102.5,-26.54,1613185592
paita,PE,75.67,78,85,12.8,-5.0892,-81.1144,75.67,1613185592
neiafu,TO,82.4,78,40,8.05,-18.65,-173.9833,82.4,1613185593
black river,JM,76.23,69,20,3.44,18.0264,-77.8487,77.0,1613185593
bethel,US,24.55,33,90,3.44,41.3712,-73.414,28.4,1613185594
tuktoyaktuk,CA,-7.6,77,75,4.61,69.4541,-133.0374,-7.6,1613185594
mildura,AU,74.62,40,0,12.66,-34.2,142.15,75.99,1613185594
pedro ii,BR,69.4,98,61,1.41,-4.4247,-41.4586,69.4,1613185514
dikson,RU,-25.85,87,98,11.61,73.5069,80.5464,-25.85,1613185595
tazovskiy,RU,-36.58,83,66,5.84,67.4667,78.7,-36.58,1613185595
zhireken,RU,-0.56,85,100,8.61,52.8249,117.3076,-0.56,1613185595
mar del plata,AR,69.01,74,93,15.99,-38.0023,-57.5575,69.01,1613185595
nikolskoye,RU,0.93,78,75,6.71,59.7035,30.7861,3.0,1613185596
talaya,RU,-5.85,86,100,2.86,61.3833,152.75,-5.85,1613185596
port macquarie,AU,73.4,88,90,8.05,-31.4333,152.9167,73.4,1613185596
turukhansk,RU,-30.32,78,0,6.02,65.8167,87.9833,-30.32,1613185596
bredasdorp,ZA,69.8,83,2,4.61,-34.5322,20.0403,69.8,1613185597
mehamn,NO,19.29,96,69,3.11,71.0357,27.8492,19.29,1613185597
ebeltoft,DK,12.2,92,0,1.14,56.1944,10.6821,12.2,1613185597
amarillo,US,15.01,75,100,4.0,35.222,-101.8313,15.01,1613185598
cockburn town,TC,77.13,77,0,23.33,21.4612,-71.1419,77.13,1613185598
alta floresta,BR,71.98,97,100,4.07,-9.8756,-56.0861,71.98,1613185598
kawalu,ID,83.89,70,87,1.59,-7.3817,108.2082,83.89,1613185599
praia da vitoria,PT,60.46,72,40,29.71,38.7333,-27.0667,60.8,1613185379
morrope,PE,75.4,87,100,1.99,-6.5417,-80.0111,78.01,1613185599
svetlaya,RU,36.81,79,90,7.87,46.5389,138.3297,36.81,1613185599
camacupa,AO,59.0,83,3,4.03,-12.0167,17.4833,59.0,1613185371
port hardy,CA,33.39,51,90,29.93,50.6996,-127.4199,35.6,1613185600
rawlins,US,-2.2,71,90,11.5,41.7911,-107.2387,-2.2,1613185600
vila velha,BR,76.48,83,0,5.75,-20.3297,-40.2925,77.0,1613185600
kachiry,KZ,-11.6,89,0,8.48,53.0675,76.1036,-11.6,1613185600
kavieng,PG,84.76,72,33,9.57,-2.5744,150.7967,84.76,1613185601
saurimo,AO,63.52,95,98,4.07,-9.6608,20.3916,63.52,1613185601
vsetin,CZ,10.35,86,90,5.75,49.3387,17.9962,15.8,1613185601
mlimba,TZ,71.19,84,100,0.96,-8.8,35.8167,71.19,1613185601
muisne,EC,77.36,82,99,1.16,0.6,-80.0333,77.36,1613185602
luang prabang,LA,60.8,82,40,0.31,19.8856,102.1347,60.8,1613185602
kupang,ID,77.0,94,75,3.44,-10.1667,123.5833,77.0,1613185602
leh,IN,10.74,58,14,1.36,34.1667,77.5833,10.74,1613185603
san lorenzo,PY,73.4,88,0,4.29,-25.3333,-57.5333,73.4,1613185603
saldanha,ZA,62.6,88,0,3.44,-33.0117,17.9442,62.6,1613185603
ribeira grande,PT,60.82,78,100,30.82,38.5167,-28.7,60.82,1613185603
matai,TZ,59.27,94,99,2.73,-8.3,31.5167,59.27,1613185343
vestmannaeyjar,IS,41.56,89,100,48.0,63.4427,-20.2734,41.56,1613185604
srednekolymsk,RU,-20.49,84,0,5.93,67.45,153.6833,-20.49,1613185604
tessalit,ML,68.63,20,0,13.53,20.1986,1.0114,68.63,1613185604
okhotsk,RU,16.38,92,100,4.23,59.3833,143.3,16.38,1613185605
aklavik,CA,-0.31,78,99,3.44,68.2191,-135.0107,1.4,1613185319
marsa matruh,EG,53.6,82,40,5.75,31.3525,27.2453,53.6,1613185605
norrkoping,SE,13.26,73,0,6.91,58.5942,16.1826,15.01,1613185605
doha,QA,61.75,72,0,5.75,25.2867,51.5333,64.4,1613185606
norman wells,CA,-11.2,77,20,3.44,65.282,-126.8329,-11.2,1613185606
constitucion,CL,58.32,88,54,7.02,-35.3333,-72.4167,58.32,1613185606
morden,CA,-19.37,69,82,3.44,49.1919,-98.1014,-18.4,1613185607
leshukonskoye,RU,-14.53,89,0,3.04,64.8989,45.7622,-14.53,1613185607
felanitx,ES,53.02,82,20,5.75,39.4696,3.1483,55.4,1613185607
zhigansk,RU,-8.05,90,100,11.3,66.7697,123.3711,-8.05,1613185607
bontang,ID,83.71,70,82,4.43,0.1333,117.5,83.71,1613185607
kodiak,US,35.6,69,90,20.71,57.79,-152.4072,35.6,1613185608
chokurdakh,RU,-20.83,72,0,3.71,70.6333,147.9167,-20.83,1613185608
katsuura,JP,53.83,66,75,5.75,35.1333,140.3,59.0,1613185608
emba,KZ,20.61,94,78,9.4,48.8264,58.1442,20.61,1613185609
palembang,ID,80.6,89,75,5.75,-2.9167,104.7458,80.6,1613185510
yar-sale,RU,-17.75,88,100,3.0,66.8333,70.8333,-17.75,1613185609
chicama,PE,74.79,65,86,6.22,-7.8447,-79.1469,74.79,1613185609
ca mau,VN,82.76,58,54,9.24,9.1769,105.15,82.76,1613185610
mount isa,AU,93.2,40,75,5.75,-20.7333,139.5,93.2,1613185610
lensk,RU,-9.54,84,87,4.63,60.7253,114.9278,-9.54,1613185610
bahia blanca,AR,73.71,67,98,9.33,-38.7196,-62.2724,73.71,1613185371
bengkulu,ID,85.55,63,40,3.36,-3.8004,102.2655,85.55,1613185611
brigantine,US,27.55,63,90,3.44,39.4101,-74.3646,28.99,1613185611
paamiut,GL,25.88,91,100,21.18,61.994,-49.6678,25.88,1613185611
hofn,IS,40.46,74,100,20.31,64.2539,-15.2082,40.46,1613185612
tuatapere,NZ,73.0,57,95,3.0,-46.1333,167.6833,73.0,1613185612
tiksi,RU,-9.92,91,58,4.32,71.6872,128.8694,-9.92,1613185612
krasnooktyabrskiy,RU,27.03,67,36,3.94,44.9328,38.3712,28.0,1613185612
jiazi,CN,67.69,68,20,15.05,22.8779,116.067,67.69,1613185568
meulaboh,ID,84.7,68,4,0.6,4.1363,96.1285,84.7,1613185613
jieshi,CN,66.0,72,42,1.01,22.8134,115.8257,66.0,1613185613
port-gentil,GA,81.39,79,100,10.45,-0.7193,8.7815,81.39,1613185613
eyl,SO,68.04,83,59,10.47,7.9803,49.8164,68.04,1613185614
gort,IE,37.4,93,90,21.85,53.0664,-8.8167,37.4,1613185614
damghan,IR,42.4,58,0,1.97,36.1683,54.348,42.4,1613185614
taltal,CL,66.67,71,0,4.34,-25.4,-70.4833,66.67,1613185615
verkhnyaya maksakovka,RU,-13.0,84,0,6.71,61.635,50.9674,-13.0,1613185615
karnal,IN,59.22,49,99,3.15,29.6833,76.9833,59.22,1613185615
douentza,ML,68.86,21,30,2.26,14.9951,-2.9517,68.86,1613185615
husavik,IS,39.2,56,20,4.61,66.0449,-17.3389,39.2,1613185616
rakaia,NZ,68.32,72,63,3.0,-43.75,172.0167,73.0,1613185616
burhaniye,TR,39.2,65,0,17.27,39.5004,26.9727,39.2,1613185616
cherskiy,RU,-20.4,82,0,0.45,68.75,161.3,-20.4,1613185616
yulara,AU,71.6,64,90,17.27,-25.2406,130.9889,71.6,1613185448
iqaluit,CA,-11.2,77,20,6.91,63.7506,-68.5145,-11.2,1613185617
komsomolskiy,UZ,44.6,61,99,9.22,40.4272,71.7189,44.6,1613185617
ostrovnoy,RU,-0.69,91,99,5.95,68.0531,39.5131,-0.69,1613185617
saint-augustin,CA,11.98,92,1,11.56,51.226,-58.6502,11.98,1613185617
kahului,US,74.32,54,40,21.85,20.8947,-156.47,80.6,1613185618
gasa,PS,52.45,87,0,2.3,31.5,34.4667,53.01,1613185618
dudinka,RU,-23.75,86,100,3.49,69.4058,86.1778,-23.75,1613185618
maceio,BR,75.2,94,75,4.61,-9.6658,-35.7353,75.2,1613185612
lujan,AR,66.99,99,96,7.0,-34.5703,-59.105,66.99,1613185619
lebu,CL,57.56,84,0,14.23,-37.6167,-73.65,57.56,1613185619
maarianhamina,AX,28.4,74,0,12.66,60.0973,19.9348,28.4,1613185619
clyde river,CA,-2.2,92,100,23.02,70.4692,-68.5914,-2.2,1613185619
kyaikto,MM,78.91,50,51,4.21,17.3,97.0167,78.91,1613185620
shelburne,CA,4.98,85,90,3.09,44.0787,-80.2041,8.6,1613185620
lompoc,US,48.87,87,1,10.36,34.6391,-120.4579,51.8,1613185620
gongzhuling,CN,33.49,96,97,3.47,43.5008,124.8198,33.49,1613185621
xihua,CN,58.28,68,98,6.96,33.7833,114.5167,58.28,1613185621
sobolevo,RU,8.53,94,100,21.77,54.4299,31.8996,8.53,1613185621
poum,NC,80.76,71,1,8.52,-20.2333,164.0167,80.76,1613185621
anito,PH,81.57,84,38,1.34,12.4497,125.2886,81.57,1613185622
ponta do sol,PT,51.03,71,20,3.0,32.6667,-17.1,55.99,1613185622
jagannathpur,IN,71.29,39,42,2.19,22.2333,85.65,71.29,1613185622
kamenka,RU,24.01,91,100,14.9,51.3223,42.7678,24.01,1613185622
terrace,CA,24.8,36,75,24.16,54.5163,-128.6035,24.8,1613185623
deputatskiy,RU,-16.46,90,100,2.86,69.3,139.9,-16.46,1613185623
plettenberg bay,ZA,71.44,95,79,2.55,-34.0527,23.3716,71.44,1613185623
pisco,PE,72.39,73,0,8.05,-13.7,-76.2167,73.4,1613185473
ancud,CL,49.77,76,0,6.91,-41.8697,-73.8203,55.0,1613185624
severo-kurilsk,RU,28.9,95,100,8.12,50.6789,156.125,28.9,1613185624
whitehorse,CA,-11.2,77,1,3.44,60.7161,-135.0538,-11.2,1613185625
manzhouli,CN,-4.76,84,0,18.75,49.6,117.4333,-4.76,1613185625
little elm,US,22.68,85,6,5.01,33.1626,-96.9375,24.01,1613185103
bauchi,NG,63.19,28,1,3.31,10.5,10.0,63.19,1613185625
atar,MR,62.73,24,0,9.66,20.5169,-13.0499,62.73,1613185330
preobrazheniye,RU,40.12,78,100,1.45,42.9019,133.9064,40.12,1613185626
lyaskelya,RU,4.08,94,97,2.13,61.7667,31.0167,4.08,1613185626
klaksvik,FO,37.4,75,90,21.85,62.2266,-6.589,37.4,1613185347
san rafael,AR,74.08,50,70,9.6,-34.6177,-68.3301,74.08,1613185626
chama,CH,17.31,73,90,5.75,47.1821,8.4636,21.2,1613185627
apt,FR,38.39,93,90,10.36,43.8833,5.4,42.01,1613185627
neuquen,AR,77.0,50,0,2.3,-38.9516,-68.0591,77.0,1613185627
kruisfontein,ZA,73.99,93,100,3.83,-34.0033,24.7314,73.99,1613185628
chuy,UY,70.48,90,100,11.32,-33.6971,-53.4616,70.48,1613185628
caravelas,BR,75.22,87,13,4.76,-17.7125,-39.2481,75.22,1613185628
maniitsoq,GL,14.77,88,18,12.59,65.4167,-52.9,14.77,1613185628
mikhaylov,RU,14.16,96,100,10.87,54.2292,39.0186,14.16,1613185629
ixtapa,MX,69.8,78,1,3.44,20.7,-105.2,69.8,1613185629
itarema,BR,78.91,84,3,9.26,-2.9248,-39.9167,78.91,1613185630
tamandare,BR,78.39,83,14,9.26,-8.7597,-35.1047,78.39,1613185458
marystown,CA,26.51,92,0,20.49,47.1666,-55.1483,26.51,1613185630
alamos,MX,62.15,67,65,1.01,27.0167,-108.9333,64.99,1613185630
antalaha,MG,74.79,87,100,4.88,-14.9003,50.2788,74.79,1613185631
palmela,PT,48.96,100,0,1.14,38.569,-8.9013,52.0,1613185631
zimapan,MX,49.62,87,77,5.1,20.75,-99.35,49.62,1613185631
touros,BR,78.8,83,40,4.61,-5.1989,-35.4608,78.8,1613185631
panzhihua,CN,55.99,47,0,0.81,26.5851,101.7128,55.99,1613185632
gushikawa,JP,70.72,88,40,11.5,26.3544,127.8686,71.6,1613185632
cajamarca,PE,54.18,83,99,0.63,-7.1638,-78.5003,54.18,1613185632
thaton,MM,80.08,52,80,3.51,16.9206,97.3714,80.08,1613185633
jabinyanah,TN,51.8,76,0,12.64,35.035,10.9081,51.8,1613185633
comodoro rivadavia,AR,62.6,88,75,8.05,-45.8667,-67.5,62.6,1613185633
kaka,TM,47.23,58,0,5.73,37.3482,59.6143,47.23,1613185334
kloulklubed,PW,84.2,74,75,9.22,7.0419,134.2556,84.2,1613185634
mackay,AU,88.29,37,69,8.05,-21.15,149.2,89.01,1613185634
nemuro,JP,32.0,69,0,9.22,43.3236,145.575,32.0,1613185634
lumphat,KH,80.26,43,0,6.13,13.4878,106.9816,80.26,1613185634
qui nhon,VN,71.02,70,40,9.55,13.7667,109.2333,71.02,1613185635
vagur,FO,38.89,75,93,31.27,61.4732,-6.8119,38.89,1613185635
pedernales,DO,76.51,62,0,8.23,18.0384,-71.744,76.51,1613185635
mahebourg,MU,78.8,78,40,11.5,-20.4081,57.7,78.8,1613185635
itaqui,BR,69.87,77,0,6.29,-29.1253,-56.5531,69.87,1613185635
dabakala,CI,76.03,54,0,4.36,8.3667,-4.4333,76.03,1613185636
altamira,BR,74.16,95,96,2.57,-3.2033,-52.2064,74.16,1613185636
cheyenne,US,-3.05,84,90,4.61,41.14,-104.8203,0.0,1613185470
mayo,US,29.8,64,90,4.61,38.8876,-76.5119,30.99,1613185442
ulsteinvik,NO,23.52,59,0,14.97,62.3432,5.8487,28.4,1613185637
mount gambier,AU,66.2,55,90,10.36,-37.8333,140.7667,66.2,1613185637
kuzhener,RU,13.35,96,100,11.83,56.8111,48.9128,13.35,1613185637
dicamay,PH,74.3,81,98,3.0,16.7561,122.0037,74.3,1613185637
vanavara,RU,-14.67,88,100,3.04,60.34,102.2797,-14.67,1613185638
vieques,PR,73.4,83,20,4.61,18.425,-65.8329,75.2,1613185638
pauini,BR,73.96,97,100,2.01,-7.7136,-66.9764,73.96,1613185638
jarvenpaa,FI,17.58,100,75,2.3,60.4737,25.0899,19.99,1613185638
zyryanka,RU,-21.12,86,17,3.98,65.75,150.85,-21.12,1613185639
wanaka,NZ,77.0,39,65,5.99,-44.7,169.15,77.0,1613185639
ilulissat,GL,12.2,79,40,4.61,69.2167,-51.1,12.2,1613185639
san cristobal,VE,66.54,74,41,1.61,7.7669,-72.225,66.54,1613185639
umm lajj,SA,73.2,60,0,9.93,25.0213,37.2685,73.2,1613185640
ternate,ID,84.07,72,62,6.13,0.8,127.4,84.07,1613185640
beloha,MG,75.4,74,97,11.7,-25.1667,45.05,75.4,1613185640
fairbanks,US,-0.63,92,1,1.28,64.8378,-147.7164,6.01,1613185641
baherden,TM,50.68,49,0,7.54,38.4362,57.4316,50.68,1613185641
presidencia roque saenz pena,AR,75.99,64,48,4.94,-26.7852,-60.4388,75.99,1613185641
miyako,JP,47.17,53,1,1.1,39.6367,141.9525,47.17,1613185641
urusha,RU,-1.44,90,100,6.13,54.05,122.9,-1.44,1613185641
cabras,IT,46.99,100,94,3.0,39.93,8.5314,46.99,1613185642
balabac,PH,82.2,78,100,14.67,7.9868,117.0645,82.2,1613185642
luderitz,NA,63.36,86,29,7.74,-26.6481,15.1594,63.36,1613185642
bhatkal,IN,77.05,54,69,4.16,13.9667,74.5667,77.05,1613185643
buin,CL,66.74,82,20,9.22,-33.7333,-70.75,69.01,1613185643
torbay,CA,29.23,86,90,29.93,47.6666,-52.7314,30.99,1613185398
sidi bin nur,TN,55.4,67,0,4.61,35.5333,10.9167,55.4,1613185644
strezhevoy,RU,-18.4,76,0,2.24,60.7333,77.5889,-18.4,1613185644
asfi,MA,57.45,90,0,20.13,32.2994,-9.2372,57.45,1613185644
porto novo,BJ,84.2,89,40,10.36,6.4965,2.6036,84.2,1613185644
raudeberg,NO,27.0,44,0,12.37,61.9875,5.1352,27.0,1613185645
laguna,US,54.64,71,1,5.75,38.421,-121.4238,55.4,1613185645
sarkand,KZ,27.77,87,100,1.45,45.41,79.9186,27.77,1613185645
bonavista,CA,27.99,93,100,9.22,48.6499,-53.1147,30.0,1613185645
narsaq,GL,42.8,31,75,29.93,60.9167,-46.05,42.8,1613185390
mezen,RU,-12.44,89,82,5.68,65.8522,44.24,-12.44,1613185646
saint-pierre,RE,76.15,65,0,21.85,-21.3393,55.4781,80.6,1613185646
muros,ES,55.58,74,100,17.0,42.7762,-9.0603,57.0,1613185646
tema,GH,82.4,89,20,13.8,5.667,-0.0166,82.4,1613185647
veseloyarsk,RU,-9.27,89,83,3.94,51.2836,81.1056,-9.27,1613185647
sao caetano de odivelas,BR,76.73,92,100,5.84,-0.75,-48.02,76.73,1613185647
port hueneme,US,55.47,82,1,4.61,34.1478,-119.1951,57.2,1613185648
moussoro,TD,69.3,24,8,10.42,13.6408,16.4901,69.3,1613185492
honningsvag,NO,28.56,88,100,24.76,70.9821,25.9704,28.56,1613185648
cabudare,VE,71.17,82,40,4.34,10.0289,-69.0894,71.17,1613185648
baker city,US,17.96,79,90,5.75,44.7749,-117.8344,19.4,1613185649
amahai,ID,87.62,59,100,3.62,-3.3333,128.9167,87.62,1613185649
mawlaik,MM,76.66,36,0,2.19,23.6333,94.4167,76.66,1613185649
vila franca do campo,PT,60.91,88,40,16.11,37.7167,-25.4333,61.0,1613185649
maragogi,BR,78.22,82,20,9.37,-9.0122,-35.2225,78.22,1613185650
harbour breton,CA,27.14,92,0,17.58,47.4833,-55.7983,27.14,1613185650
cartagena del chaira,CO,75.49,64,98,1.45,1.3349,-74.8429,75.49,1613185650
pingyin,CN,57.0,67,100,1.01,36.2831,116.4453,57.0,1613185521
bathsheba,BB,77.0,69,40,16.11,13.2167,-59.5167,77.0,1613185651
puerto escondido,MX,78.8,78,40,3.44,15.85,-97.0667,78.8,1613185651
magdagachi,RU,6.46,93,100,8.93,53.45,125.8,6.46,1613185651
rio gallegos,AR,50.0,57,0,4.61,-51.6226,-69.2181,50.0,1613185461
harper,LR,78.93,89,0,6.96,4.375,-7.7169,78.93,1613185652
longyan,CN,72.0,46,69,5.01,25.1072,117.0225,72.0,1613185652
